# Pathway	SRR30598629_Abundance
UNMAPPED	0.406564
UNINTEGRATED	0.527904
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0.0738515
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	0.0481664
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.042171
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24	0.0321681
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_386	0.024388
UNINTEGRATED|g__Dialister.s__Dialister_sp_CAG_486	0.0242383
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.0194225
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	0.0175964
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_604	0.0153562
UNINTEGRATED|unclassified	0.0135928
UNINTEGRATED|g__Blautia.s__Blautia_obeum	0.011575
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0.0115676
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	0.011305
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0.00957891
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	0.00925301
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_520	0.0084362
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0.00654834
UNINTEGRATED|g__Succinatimonas.s__Succinatimonas_sp_CAG_777	0.00646753
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_885	0.00583053
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791	0.00470021
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_217	0.00411631
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0.0039442
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0.00380411
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	0.00370938
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	0.00357404
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	0.00349316
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0.00314661
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_471	0.00289709
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0.00282178
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	0.00270689
UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis	0.00250589
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	0.00238142
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318	0.00232018
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	0.00217564
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	0.00203175
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110	0.00187916
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0.00181406
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	0.00177268
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0.00161033
